,Temperature[C],Humidity[%],eCO2[ppm],Fire Alarm
80,21.124,49.47,405,0
81,21.137,49.44,400,0
82,21.15,49.39,407,0
83,21.164,49.31,420,0
84,21.177,49.21,420,0
85,21.19,49.07,448,0
86,21.204,49.29,453,0
87,21.217,49.81,462,0
88,21.23,50.45,448,0
89,21.243,51.03,439,0
90,21.257,51.56,437,0
91,21.27,52.04,441,0
92,21.283,52.54,422,0
93,21.296,52.92,438,0
94,21.309,53.32,424,0
95,21.323,53.65,419,0
96,21.336,53.96,421,0
97,21.349,54.25,417,0
98,21.362,54.52,418,0
99,21.375,54.74,405,0
100,21.388,54.95,414,0
101,21.401,55.16,408,0
102,21.414,55.32,410,0
103,21.427,55.53,406,0
104,21.44,55.64,400,0
105,21.453,55.81,406,0
106,21.466,55.9,401,0
107,21.479,56.07,402,0
108,21.492,56.18,400,0
109,21.505,56.24,402,0
110,21.518,56.37,400,0
111,21.531,56.42,409,0
112,21.543,56.5,408,0
113,21.556,56.62,401,0
114,21.569,56.69,400,0
115,21.582,56.91,400,0
116,21.595,56.65,400,0
117,21.607,56.13,400,0
118,21.62,55.44,402,0
119,21.633,54.78,408,0
120,21.646,54.24,419,0
121,21.658,53.68,415,0
122,21.671,53.18,404,0
123,21.684,52.75,400,0
124,21.696,52.37,408,0
125,21.709,52.01,413,0
126,21.722,51.72,415,0
127,21.734,51.45,413,0
128,21.747,51.18,413,0
129,21.76,51.01,417,0
130,21.772,50.78,417,0
131,21.785,50.64,401,0
132,21.797,50.46,407,0
133,21.81,50.3,400,0
134,21.822,50.16,425,0
135,21.835,50.04,426,0
136,21.847,49.93,420,0
137,21.86,49.85,417,0
138,21.872,49.76,420,0
139,21.885,49.64,417,0
140,21.897,49.58,411,0
141,21.909,49.5,421,0
142,21.922,49.42,414,0
143,21.934,49.38,418,0
144,21.946,49.33,406,0
145,21.959,49.16,442,0
146,21.971,49.32,455,0
147,21.983,49.87,440,0
148,21.996,50.49,445,0
149,22.008,51.08,453,0
150,22.02,51.65,440,0
151,22.032,52.13,433,0
152,22.044,52.62,433,0
153,22.057,53.02,430,0
154,22.069,53.45,438,0
155,22.081,53.75,426,0
156,22.093,54.05,431,0
157,22.105,54.36,437,0
158,22.117,54.59,417,0
159,22.13,54.83,420,0
160,22.142,55.03,420,0
161,22.154,55.25,421,0
162,22.166,55.46,415,0
163,22.178,55.61,410,0
164,22.19,55.73,400,0
165,22.202,55.88,417,0
166,22.214,56.02,403,0
167,22.226,56.14,405,0
168,22.238,56.26,401,0
169,22.25,56.32,403,0
170,22.262,56.43,400,0
171,22.273,56.53,404,0
172,22.285,56.63,404,0
173,22.297,56.69,403,0
174,22.309,56.76,400,0
175,22.321,56.99,400,0
176,22.333,56.77,400,0
177,22.344,55.02,401,0
178,22.356,54.41,408,0
179,22.368,53.84,410,0
180,22.38,53.38,402,0
181,22.392,51.95,413,0
182,22.403,51.66,400,0
183,22.415,51.38,409,0
184,22.427,51.19,405,0
185,22.438,50.83,400,0
186,22.45,50.65,401,0
187,22.462,50.49,412,0
188,22.473,50.36,407,0
189,22.485,50.2,409,0
190,22.497,50.09,405,0
191,22.508,49.96,403,0
192,22.52,49.89,402,0
193,22.531,49.78,409,0
194,22.543,49.71,400,0
195,22.554,49.63,401,0
196,22.566,49.57,402,0
197,22.577,49.52,402,0
198,22.589,49.43,405,0
199,22.6,49.23,440,0
200,22.612,49.5,440,0
201,22.623,50.05,444,0
202,22.634,50.61,429,0
203,22.646,51.18,449,0
204,22.657,51.74,422,0
205,22.669,52.22,416,0
206,22.68,52.7,424,0
207,22.691,53.13,418,0
208,22.703,53.51,419,0
209,22.714,54.1,411,0
210,22.725,54.45,400,0
211,22.736,54.71,409,0
212,22.748,54.87,404,0
213,22.759,55.24,400,0
214,22.77,55.5,401,0
215,22.781,55.66,400,0
216,22.793,55.84,400,0
217,22.804,55.94,400,0
218,22.815,56.1,400,0
219,22.826,56.19,400,0
220,22.837,56.29,400,0
221,22.848,56.39,400,0
222,22.859,56.51,400,0
223,22.87,56.6,400,0
224,22.881,56.71,400,0
225,22.892,56.75,400,0
226,22.904,56.85,400,0
227,22.915,57.07,400,0
228,22.926,56.85,400,0
229,22.937,56.27,400,0
230,22.947,55.58,400,0
231,22.958,54.37,400,0
232,22.969,53.86,400,0
233,22.98,53.35,400,0
234,22.991,52.9,400,0
235,23.002,52.52,400,0
236,23.013,52.15,400,0
237,23.024,51.86,400,0
238,23.035,51.58,400,0
239,23.045,51.37,400,0
240,23.056,51.11,400,0
241,23.067,50.96,400,0
242,23.078,50.77,400,0
243,23.089,50.62,400,0
244,23.099,50.44,400,0
245,23.11,50.31,400,0
246,23.121,50.19,400,0
247,23.131,50.08,400,0
248,23.142,50,400,0
249,23.153,49.85,400,0
250,23.163,49.71,400,0
251,23.174,49.66,400,0
252,23.185,49.6,400,0
253,23.195,49.53,400,0
254,23.206,49.45,400,0
255,23.216,49.31,400,0
256,23.227,49.97,400,0
257,23.238,50.61,400,0
258,23.248,51.19,400,0
259,23.259,51.75,400,0
260,23.269,52.63,400,0
261,23.28,53.07,400,0
262,23.29,53.48,400,0
263,23.3,53.84,400,0
264,23.311,54.17,400,0
265,23.321,54.43,400,0
266,23.332,54.71,400,0
267,23.342,54.92,400,0
268,23.353,55.14,400,0
269,23.363,55.36,400,0
270,23.373,55.55,400,0
271,23.384,55.74,400,0
272,23.394,55.89,400,0
273,23.404,56,400,0
274,23.414,56.17,400,0
275,23.425,56.27,400,0
276,23.435,56.37,400,0
277,23.445,56.48,400,0
278,23.455,56.57,400,0
279,23.466,56.66,400,0
280,23.476,56.77,400,0
281,23.486,56.81,400,0
282,23.496,56.85,400,0
283,23.506,57.1,400,0
284,23.516,56.91,400,0
285,23.526,56.32,400,0
286,23.537,55.64,400,0
287,23.547,54.43,400,0
288,23.557,53.91,400,0
289,23.567,53.4,400,0
290,23.577,52.96,400,0
291,23.587,52.56,400,0
292,23.597,52.25,400,0
293,23.607,51.91,400,0
294,23.617,51.63,400,0
295,23.627,51.38,400,0
296,23.637,51.16,400,0
297,23.646,50.96,400,0
298,23.656,50.8,400,0
299,23.666,50.63,400,0
300,23.676,50.51,400,0
301,23.686,50.4,400,0
302,23.696,50.17,400,0
303,23.706,50.08,400,0
304,23.716,49.88,400,0
305,23.725,49.81,400,0
306,23.735,49.74,400,0
307,23.745,49.67,400,0
308,23.755,49.61,400,0
309,23.764,49.54,400,0
310,23.774,49.35,400,0
311,23.784,49.59,400,0
312,23.793,50.13,400,0
313,23.803,50.75,400,0
314,23.813,51.3,400,0
315,23.822,51.89,400,0
316,23.832,52.39,400,0
317,23.842,52.85,400,0
318,23.851,53.25,400,0
319,23.861,53.66,400,0
320,23.87,53.99,400,0
321,23.88,54.3,400,0
322,23.89,54.58,400,0
323,23.899,54.85,400,0
324,23.909,55.04,400,0
325,23.918,55.25,400,0
326,23.928,55.5,400,0
327,23.937,55.71,400,0
328,23.946,55.83,400,0
329,23.956,55.98,400,0
330,23.965,56.13,400,0
331,23.975,56.23,400,0
332,23.984,56.37,400,0
333,23.993,56.47,400,0
334,24.003,56.57,400,0
335,24.012,56.66,400,0
336,24.021,56.76,400,0
337,24.031,56.83,400,0
338,24.04,56.9,400,0
339,24.049,56.96,400,0
340,24.059,57.2,400,0
341,24.068,56.96,400,0
342,24.077,56.37,400,0
343,24.086,55.13,400,0
344,24.095,54.47,400,0
345,24.105,53.94,400,0
346,24.114,53.43,400,0
347,24.123,53.03,400,0
348,24.132,52.6,400,0
349,24.141,52.25,400,0
350,24.15,51.92,400,0
351,24.159,51.65,400,0
352,24.169,51.26,400,0
353,24.178,51.06,400,0
354,24.187,50.88,400,0
355,24.196,50.74,400,0
356,24.205,50.58,400,0
357,24.214,50.41,400,0
358,24.223,50.31,400,0
359,24.232,50.21,400,0
360,24.241,50.08,400,0
361,24.25,50,400,0
362,24.259,49.86,400,0
363,24.267,49.84,400,0
364,24.276,49.76,400,0
365,24.285,49.7,400,0
366,24.294,49.62,400,0
367,24.303,49.56,400,0
368,24.312,49.41,400,0
369,24.321,49.61,400,0
370,24.329,50.14,400,0
371,24.338,50.76,400,0
372,24.347,51.4,400,0
373,24.356,52.37,400,0
374,24.365,52.86,400,0
375,24.373,53.27,400,0
376,24.382,53.64,400,0
377,24.391,54,400,0
378,24.399,54.34,400,0
379,24.408,54.6,400,0
380,24.417,54.81,400,0
381,24.425,55.06,400,0
382,24.434,55.27,400,0
383,24.443,55.52,400,0
384,24.451,55.67,400,0
385,24.46,55.85,400,0
386,24.468,55.98,400,0
387,24.477,56.15,400,0
388,24.485,56.23,400,0
389,24.494,56.36,400,0
390,24.503,56.46,400,0
391,24.511,56.57,400,0
392,24.52,56.67,400,0
393,24.528,56.75,400,0
394,24.536,56.82,400,0
395,24.545,56.9,400,0
396,24.553,56.97,400,0
397,24.562,57.22,400,0
398,24.57,56.97,400,0
399,24.578,56.35,400,0
400,24.587,55.68,400,0
401,24.595,55,400,0
402,24.604,54.41,400,0
403,24.612,53.86,400,0
404,24.62,53.34,400,0
405,24.628,52.92,400,0
406,24.637,52.55,400,0
407,24.645,52.17,400,0
408,24.653,51.9,400,0
409,24.661,51.64,400,0
410,24.67,51.38,400,0
411,24.678,51.15,400,0
412,24.686,50.98,400,0
413,24.694,50.83,400,0
414,24.702,50.65,400,0
415,24.71,50.49,400,0
416,24.719,50.37,400,0
417,24.727,50.24,400,0
418,24.735,50.13,400,0
419,24.743,50.05,400,0
420,24.751,49.98,400,0
421,24.759,49.9,400,0
422,24.767,49.82,400,0
423,24.775,49.73,400,0
424,24.783,49.67,400,0
425,24.791,49.59,400,0
426,24.799,49.53,400,0
427,24.807,49.37,400,0
428,24.815,49.64,400,0
429,24.823,50.15,400,0
430,24.831,50.81,400,0
431,24.839,51.38,400,0
432,24.847,51.89,400,0
433,24.854,52.44,400,0
434,24.862,52.9,400,0
435,24.87,53.26,400,0
436,24.878,53.68,400,0
437,24.886,54.05,400,0
438,24.894,54.33,400,0
439,24.901,54.6,400,0
440,24.909,54.84,400,0
441,24.917,55.1,400,0
442,24.925,55.32,400,0
443,24.932,55.48,400,0
444,24.94,55.67,400,0
445,24.948,55.85,400,0
446,24.956,56,400,0
447,24.963,56.15,400,0
448,24.971,56.29,400,0
449,24.979,56.38,400,0
450,24.986,56.46,400,0
451,24.994,56.61,400,0
452,25.001,56.66,400,0
453,25.009,56.76,400,0
454,25.016,56.85,400,0
455,25.024,56.91,400,0
456,25.032,57,400,0
457,25.039,57.22,400,0
458,25.047,56.93,400,0
459,25.054,55.72,400,0
460,25.062,55.07,400,0
461,25.069,54.47,400,0
462,25.077,53.91,400,0
463,25.084,53.42,400,0
464,25.091,52.94,400,0
465,25.099,52.56,400,0
466,25.106,52.26,400,0
467,25.114,51.95,400,0
468,25.121,51.68,400,0
469,25.128,51.44,400,0
470,25.136,51.23,400,0
471,25.143,51.03,400,0
472,25.15,50.85,400,0
473,25.158,50.57,400,0
474,25.165,50.45,400,0
475,25.172,50.31,400,0
476,25.179,50.19,400,0
477,25.187,50.11,400,0
478,25.194,50.02,400,0
479,25.201,49.93,400,0
480,25.208,49.84,400,0
481,25.215,49.77,400,0
482,25.223,49.64,400,0
483,25.23,49.62,400,0
484,25.237,49.44,400,0
485,25.244,49.74,400,0
486,25.251,50.26,400,0
487,25.258,50.89,400,0
488,25.265,51.46,400,0
489,25.272,51.99,400,0
490,25.279,52.52,400,0
491,25.286,52.98,400,0
492,25.293,53.44,400,0
493,25.3,53.81,400,0
494,25.307,54.17,400,0
495,25.314,54.46,400,0
496,25.321,54.76,400,0
497,25.328,55.01,400,0
498,25.335,55.23,400,0
499,25.342,55.45,400,0
500,25.349,55.66,400,0
501,25.356,55.86,400,0
502,25.363,56.01,400,0
503,25.37,56.16,400,0
504,25.376,56.28,400,0
505,25.383,56.42,400,0
506,25.39,56.56,400,0
507,25.397,56.64,400,0
508,25.404,56.76,400,0
509,25.41,56.86,400,0
510,25.417,56.96,400,0
511,25.424,57.01,400,0
512,25.431,57.09,400,0
513,25.437,57.14,400,0
514,25.444,57.39,400,0
515,25.451,57.16,400,0
516,25.457,56.51,400,0
517,25.464,55.84,400,0
518,25.471,55.2,400,0
519,25.477,54.57,400,0
520,25.484,54,400,0
521,25.491,53.51,400,0
522,25.497,53.1,400,0
523,25.504,52.7,400,0
524,25.51,52.38,400,0
525,25.517,52.07,400,0
526,25.523,51.83,400,0
527,25.53,51.57,400,0
528,25.536,51.35,400,0
529,25.543,51.18,400,0
530,25.549,51.01,400,0
531,25.556,50.86,400,0
532,25.562,50.68,400,0
533,25.569,50.59,400,0
534,25.575,50.49,400,0
535,25.582,50.39,400,0
536,25.588,50.23,400,0
537,25.594,50.15,400,0
538,25.601,50.12,400,0
539,25.607,50,400,0
540,25.613,49.98,400,0
541,25.62,49.89,400,0
542,25.626,49.81,400,0
543,25.632,49.74,400,0
544,25.639,49.6,400,0
545,25.645,49.86,400,0
546,25.651,50.41,400,0
547,25.657,51.04,400,0
548,25.664,51.64,400,0
549,25.67,52.17,400,0
550,25.676,52.71,400,0
551,25.682,53.2,400,0
552,25.688,53.6,400,0
553,25.694,53.98,400,0
554,25.701,54.32,400,0
555,25.707,54.64,400,0
556,25.713,54.91,400,0
557,25.719,55.54,400,0
558,25.725,55.77,400,0
559,25.731,55.97,400,0
560,25.737,56.11,400,0
561,25.743,56.24,400,0
562,25.749,56.39,400,0
563,25.755,56.55,400,0
564,25.761,56.65,400,0
565,25.767,56.75,400,0
566,25.773,56.93,400,0
567,25.779,57.02,400,0
568,25.785,57.24,400,0
569,25.791,57.44,400,0
570,25.797,57.21,400,0
571,25.803,56.63,400,0
572,25.809,55.88,400,0
573,25.815,55.23,400,0
574,25.82,54.63,400,0
575,25.826,54.06,400,0
576,25.832,53.56,400,0
577,25.838,53.13,400,0
578,25.844,52.74,400,0
579,25.85,52.4,400,0
580,25.855,52.13,400,0
581,25.861,51.84,400,0
582,25.867,51.64,400,0
583,25.873,51.42,400,0
584,25.878,51.06,400,0
585,25.884,50.93,400,0
586,25.89,50.78,400,0
587,25.895,50.63,400,0
588,25.901,50.5,400,0
589,25.907,50.43,400,0
590,25.912,50.36,400,0
591,25.918,50.25,400,0
592,25.923,50.14,400,0
593,25.929,50.07,400,0
594,25.935,50,400,0
595,25.94,49.94,400,0
596,25.946,49.85,400,0
597,25.951,49.83,400,0
598,25.957,50.37,400,0
599,25.962,50.95,400,0
600,25.968,51.57,400,0
601,25.973,52.62,400,0
602,25.979,53.08,400,0
603,25.984,53.51,400,0
604,25.99,53.94,400,0
605,25.995,54.57,400,0
606,26.001,54.85,400,0
607,26.006,55.12,400,0
608,26.011,55.39,400,0
609,26.017,55.63,400,0
610,26.022,55.81,400,0
611,26.027,56.03,400,0
612,26.033,56.16,400,0
613,26.038,56.36,400,0
614,26.043,56.49,400,0
615,26.049,56.61,400,0
616,26.054,56.7,400,0
617,26.059,56.83,400,0
618,26.064,56.95,400,0
619,26.07,57.04,400,0
620,26.075,57.15,400,0
621,26.08,57.23,400,0
622,26.085,57.28,400,0
623,26.09,57.35,400,0
624,26.096,57.59,400,0
625,26.101,57.34,400,0
626,26.106,56.7,400,0
627,26.111,56.01,400,0
628,26.116,55.31,400,0
629,26.121,54.71,400,0
630,26.126,54.18,400,0
631,26.131,53.71,400,0
632,26.137,53.23,400,0
633,26.142,52.85,400,0
634,26.147,52.5,400,0
635,26.152,52.18,400,0
636,26.157,51.97,400,0
637,26.162,51.72,400,0
638,26.167,51.48,400,0
639,26.172,51.33,400,0
640,26.176,51.17,400,0
641,26.181,51.04,400,0
642,26.186,50.86,400,0
643,26.191,50.71,400,0
644,26.196,50.59,400,0
645,26.201,50.52,400,0
646,26.206,50.41,400,0
647,26.211,50.32,400,0
648,26.216,50.28,400,0
649,26.22,50.17,400,0
650,26.225,50.12,400,0
651,26.23,50.04,400,0
652,26.235,49.99,400,0
653,26.24,49.93,400,0
654,26.244,49.78,400,0
655,26.249,50.02,400,0
656,26.254,50.6,400,0
657,26.259,51.19,400,0
658,26.263,51.8,400,0
659,26.268,52.39,400,0
660,26.273,52.9,400,0
661,26.277,53.36,400,0
662,26.282,53.76,400,0
663,26.287,54.15,400,0
664,26.291,54.51,400,0
665,26.296,54.79,400,0
666,26.3,55.1,400,0
667,26.305,55.35,400,0
668,26.31,55.59,400,0
669,26.314,55.77,400,0
670,26.319,56,400,0
671,26.323,56.17,400,0
672,26.328,56.33,400,0
673,26.332,56.43,400,0
674,26.337,56.57,400,0
675,26.341,56.73,400,0
676,26.346,56.81,400,0
677,26.35,56.95,400,0
678,26.355,57,400,0
679,26.359,57.08,400,0
680,26.363,57.2,400,0
681,26.368,57.26,400,0
682,26.372,57.33,400,0
683,26.377,57.39,400,0
684,26.381,57.58,400,0
685,26.385,57.32,400,0
686,26.39,56.72,400,0
687,26.394,55.99,400,0
688,26.398,55.3,400,0
689,26.402,54.7,400,0
690,26.407,54.12,400,0
691,26.411,53.66,400,0
692,26.415,53.2,400,0
693,26.419,52.8,400,0
694,26.424,52.46,400,0
695,26.428,52.19,400,0
696,26.432,51.94,400,0
697,26.436,51.72,400,0
698,26.44,51.47,400,0
699,26.445,51.28,400,0
700,26.449,51.16,400,0
701,26.453,50.99,400,0
702,26.457,50.88,400,0
703,26.461,50.75,400,0
704,26.465,50.61,400,0
705,26.469,50.5,400,0
706,26.473,50.4,400,0
707,26.477,50.34,400,0
708,26.481,50.29,400,0
709,26.485,50.17,400,0
710,26.489,50.1,400,0
711,26.493,50.08,400,0
712,26.497,50,400,0
713,26.501,49.96,400,0
714,26.505,49.8,400,0
715,26.509,50.04,400,0
716,26.513,50.65,400,0
717,26.517,51.26,400,0
718,26.521,51.9,400,0
719,26.525,52.43,400,0
720,26.529,52.96,400,0
721,26.533,53.43,400,0
722,26.537,53.87,400,0
723,26.54,54.19,400,0
724,26.544,54.56,400,0
725,26.548,54.9,400,0
726,26.552,55.13,400,0
727,26.556,55.43,400,0
728,26.559,55.66,400,0
729,26.563,55.88,400,0
730,26.567,56.04,400,0
731,26.571,56.24,400,0
732,26.574,56.38,400,0
733,26.578,56.54,400,0
734,26.582,56.67,400,0
735,26.585,56.79,400,0
736,26.589,56.9,400,0
737,26.593,56.99,400,0
738,26.596,57.08,400,0
739,26.6,57.17,400,0
740,26.604,57.24,400,0
741,26.607,57.33,400,0
742,26.611,57.37,400,0
743,26.614,57.46,400,0
744,26.618,57.68,400,0
745,26.622,57.38,400,0
746,26.625,56.77,400,0
747,26.629,56.06,400,0
748,26.632,55.33,400,0
749,26.636,54.68,400,0
750,26.639,54.17,400,0
751,26.643,53.65,400,0
752,26.646,53.22,400,0
753,26.65,52.86,400,0
754,26.653,52.51,400,0
755,26.656,52.23,400,0
756,26.66,51.9,400,0
757,26.663,51.71,400,0
758,26.667,51.49,400,0
759,26.67,51.34,400,0
760,26.673,51.15,400,0
761,26.677,51.05,400,0
762,26.68,50.88,400,0
763,26.683,50.76,400,0
764,26.687,50.68,400,0
765,26.69,50.54,400,0
766,26.693,50.47,400,0
767,26.696,50.39,400,0
768,26.7,50.39,400,0
769,26.703,50.3,400,0
770,26.706,50.19,400,0
771,26.709,50.14,400,0
772,26.713,50.11,400,0
773,26.716,50.04,400,0
774,26.719,49.87,400,0
775,26.722,50.16,400,0
776,26.725,50.75,400,0
777,26.728,51.38,400,0
778,26.732,52,400,0
779,26.735,52.56,400,0
780,26.738,53.12,400,0
781,26.741,53.56,400,0
782,26.744,54.03,400,0
783,26.747,54.39,400,0
784,26.75,54.99,400,0
785,26.753,55.27,400,0
786,26.756,55.57,400,0
787,26.759,55.84,400,0
788,26.762,56.02,400,0
789,26.765,56.2,400,0
790,26.768,56.37,400,0
791,26.771,56.53,400,0
792,26.774,56.67,400,0
793,26.777,56.81,400,0
794,26.78,56.92,400,0
795,26.783,57.06,400,0
796,26.786,57.22,400,0
797,26.788,57.36,400,0
798,26.791,57.45,400,0
799,26.794,57.53,400,0
800,26.797,57.6,400,0
801,26.8,57.67,400,0
802,26.803,57.86,400,0
803,26.805,57.57,400,0
804,26.808,56.93,400,0
805,26.811,56.19,400,0
806,26.814,55.5,400,0
807,26.817,54.88,400,0
808,26.819,54.28,400,0
809,26.822,53.84,400,0
810,26.825,53.4,400,0
811,26.827,53,400,0
812,26.83,52.69,400,0
813,26.833,52.38,400,0
814,26.836,52.12,400,0
815,26.838,51.85,400,0
816,26.841,51.69,400,0
817,26.843,51.54,400,0
818,26.846,51.33,400,0
819,26.849,51.21,400,0
820,26.851,51.08,400,0
821,26.854,50.96,400,0
822,26.856,50.84,400,0
823,26.859,50.74,400,0
824,26.861,50.62,400,0
825,26.864,50.59,400,0
826,26.867,50.48,400,0
827,26.869,50.34,400,0
828,26.871,50.26,400,0
829,26.874,50.2,400,0
830,26.876,50.18,400,0
831,26.879,49.97,400,0
832,26.881,50.3,400,0
833,26.884,50.91,400,0
834,26.886,51.51,400,0
835,26.889,52.14,400,0
836,26.891,52.67,400,0
837,26.893,53.2,400,0
838,26.896,53.67,400,0
839,26.898,54.11,400,0
840,26.9,54.51,400,0
841,26.903,54.8,400,0
842,26.905,55.13,400,0
843,26.907,55.4,400,0
844,26.91,55.6,400,0
845,26.912,55.88,400,0
846,26.914,56.11,400,0
847,26.916,56.26,400,0
848,26.919,56.42,400,0
849,26.921,56.56,400,0
850,26.923,56.71,400,0
851,26.925,56.87,400,0
852,26.927,56.95,400,0
853,26.93,57.07,400,0
854,26.932,57.15,400,0
855,26.934,57.27,400,0
856,26.936,57.35,400,0
857,26.938,57.44,400,0
858,26.94,57.51,400,0
859,26.942,57.83,400,0
860,26.945,57.5,400,0
861,26.947,56.85,400,0
862,26.949,55.53,400,0
863,26.951,54.87,400,0
864,26.953,54.29,400,0
865,26.955,53.4,400,0
866,26.957,53.03,400,0
867,26.959,52.67,400,0
868,26.961,52.32,400,0
869,26.963,52.06,400,0
870,26.965,51.85,400,0
871,26.967,51.65,400,0
872,26.969,51.43,400,0
873,26.971,51.31,400,0
874,26.972,51.14,400,0
875,26.974,51.01,400,0
876,26.976,50.86,400,0
877,26.978,50.76,400,0
878,26.98,50.62,400,0
879,26.982,50.52,400,0
880,26.984,50.46,400,0
881,26.985,50.39,400,0
882,26.987,50.33,400,0
883,26.989,50.25,400,0
884,26.991,50.17,400,0
885,26.993,50.13,400,0
886,26.994,50.06,400,0
887,26.996,49.9,400,0
888,26.998,50.16,400,0
889,27,50.78,400,0
890,27.001,51.42,400,0
891,27.003,51.98,400,0
892,27.005,52.58,400,0
893,27.006,53.13,400,0
894,27.008,53.59,400,0
895,27.01,53.99,400,0
896,27.011,54.39,400,0
897,27.013,54.68,400,0
898,27.015,55,400,0
899,27.016,55.28,400,0
900,27.018,55.48,400,0
901,27.019,55.78,400,0
902,27.021,55.95,400,0
903,27.023,56.16,400,0
904,27.024,56.29,400,0
905,27.026,56.44,400,0
906,27.027,56.56,400,0
907,27.029,56.84,400,0
908,27.03,56.97,400,0
909,27.032,57.11,400,0
910,27.033,57.22,400,0
911,27.035,57.28,400,0
912,27.036,57.4,400,0
913,27.038,57.41,400,0
914,27.039,57.65,400,0
915,27.04,57.34,400,0
916,27.042,56.64,400,0
917,27.043,55.86,400,0
918,27.045,55.21,400,0
919,27.046,54.57,400,0
920,27.047,54,400,0
921,27.049,53.5,400,0
922,27.05,53.1,400,0
923,27.051,52.72,400,0
924,27.053,52.36,400,0
925,27.054,52.07,400,0
926,27.055,51.82,400,0
927,27.056,51.59,400,0
928,27.058,51.39,400,0
929,27.059,51.24,400,0
930,27.06,51.05,400,0
931,27.061,50.9,400,0
932,27.063,50.65,400,0
933,27.064,50.53,400,0
934,27.065,50.46,400,0
935,27.066,50.35,400,0
936,27.067,50.26,400,0
937,27.068,50.17,400,0
938,27.07,50.1,400,0
939,27.071,50.03,400,0
940,27.072,49.97,400,0
941,27.073,49.92,400,0
942,27.074,49.89,400,0
943,27.075,49.66,400,0
944,27.076,49.97,400,0
945,27.077,50.61,400,0
946,27.078,51.28,400,0
947,27.079,51.87,400,0
948,27.08,52.47,400,0
949,27.081,52.96,400,0
950,27.082,53.43,400,0
951,27.083,54.17,400,0
952,27.084,54.52,400,0
953,27.085,54.82,400,0
954,27.086,55.07,400,0
955,27.087,55.54,400,0
956,27.088,55.75,400,0
957,27.089,55.94,400,0
958,27.09,56.08,400,0
959,27.091,56.23,400,0
960,27.091,56.38,400,0
961,27.092,56.51,400,0
962,27.093,56.59,400,0
963,27.094,56.72,400,0
964,27.095,56.82,400,0
965,27.096,56.92,400,0
966,27.096,57.02,400,0
967,27.097,57.13,400,0
968,27.098,57.18,400,0
969,27.099,57.23,400,0
970,27.1,57.31,400,0
971,27.1,57.52,400,0
972,27.101,57.17,400,0
973,27.102,56.53,400,0
974,27.102,55.78,400,0
975,27.103,55.05,400,0
976,27.104,54.42,400,0
977,27.104,53.85,400,0
978,27.105,53.41,400,0
979,27.106,52.96,400,0
980,27.106,52.59,400,0
981,27.107,52.27,400,0
982,27.108,51.97,400,0
983,27.108,51.73,400,0
984,27.109,51.47,400,0
985,27.109,51.28,400,0
986,27.11,51.12,400,0
987,27.111,50.95,400,0
988,27.111,50.8,400,0
989,27.112,50.69,400,0
990,27.112,50.54,400,0
991,27.113,50.43,400,0
992,27.113,50.34,400,0
993,27.114,50.25,400,0
994,27.114,50.18,400,0
995,27.115,50.07,400,0
996,27.115,50.04,400,0
997,27.115,49.93,400,0
